Referee,Matches,Goals,Fouls,Yellow_Cards,Red_Cards,Home_Win_Pct,Away_Win_Pct
A Madley,43,119,1018,115,4,0.4418604651162791,0.3023255813953488
A Marriner,68,196,1245,179,5,0.3235294117647059,0.39705882352941174
A Moss,1,1,20,4,0,0.0,1.0
A Taylor,88,257,1789,297,13,0.4431818181818182,0.3181818181818182
C Kavanagh,66,180,1419,216,6,0.45454545454545453,0.3333333333333333
C Pawson,72,192,1708,270,7,0.4305555555555556,0.3472222222222222
D Coote,57,145,1325,204,7,0.42105263157894735,0.3684210526315789
D England,27,69,576,96,1,0.37037037037037035,0.37037037037037035
G Scott,43,115,881,122,10,0.46511627906976744,0.3953488372093023
J Brooks,4,9,81,21,0,0.25,0.5
J Gillett,9,32,171,31,1,0.4444444444444444,0.3333333333333333
J Moss,74,221,1448,210,8,0.4864864864864865,0.32432432432432434
K Friend,68,186,1381,208,10,0.4264705882352941,0.38235294117647056
L Mason,27,72,599,80,1,0.48148148148148145,0.25925925925925924
M Atkinson,84,214,1583,217,9,0.4642857142857143,0.35714285714285715
M Dean,78,200,1659,283,12,0.41025641025641024,0.3076923076923077
M Oliver,86,272,1849,261,10,0.3953488372093023,0.4186046511627907
M Salisbury,3,10,70,12,0,0.6666666666666666,0.3333333333333333
O Langford,1,2,23,1,0,0.0,0.0
P Bankes,39,97,837,144,6,0.4358974358974359,0.3076923076923077
P Tierney,73,199,1700,260,11,0.3698630136986301,0.3424657534246575
R Jones,22,49,457,58,2,0.2727272727272727,0.4090909090909091
S Attwell,64,186,1326,246,9,0.40625,0.328125
S Hooper,38,97,840,109,2,0.42105263157894735,0.34210526315789475
S Scott,1,4,16,3,0,0.0,0.0
T Harrington,3,4,64,7,0,0.3333333333333333,0.3333333333333333
T Robinson,1,1,27,2,0,1.0,0.0
